"","mouse_uni","shared_gene","human_uni"
"624","Q75NR7","RECQL4","O94761"
"625","Q9DBU3","RIOK3","O14730"
"626","Q8BVY0","RSL1D1","O76021"
"627","P12970","RPL7A","P62424"
"628","Q6NZC7","SEC23IP","Q9Y6Y8"
"629","Q99N95","MRPL3","P09001"
"630","Q761V0","SLC6A5","Q9Y345"
"631","Q3UHJ8","RNF44","Q7L0R7"
"632","Q96DY5","RNF112","Q9ULX5"
"633","Q5HZJ0","DROSHA","Q9NRR4"
"634","Q8R2Q4","GFM2","Q969S9"
"635","Q9CZX8","RPS19","P39019"
"636","P14206","RPSA","P08865"
"637","P09926","SURF2","Q15527"
"638","Q6ZWQ0","SYNE2","Q8WXH0"
"639","Q8R2K4","TAF6L","Q9Y6J9"
"640","Q4FZC9","SYNE3","Q6ZMZ3"
"641","Q8CII8","SYNE4","Q8N205"
"642","Q70IV5","SYNM","O15061"
"643","Q62311","TAF6","P49848"
"644","A2ANU3","SYNDIG1","Q9H7V2"
"645","Q8CHC4","SYNJ1","O43426"
"646","Q9D0I9","RARS1","P54136"
"647","Q9D3R9","TAF7L","Q5H9L4"
"648","Q9D2G5","SYNJ2","O15056"
"649","Q9R1C0","TAF7","Q15545"
"650","Q3U186","RARS2","Q5T160"
"651","Q9EQH4","TAF8","Q7Z7C8"
"652","Q6NZA9","TAF9B","Q9HBM6"
"653","Q9R0N4","SYT10","Q6XYQ8"
"654","Q8VI33","TAF9","Q16594"
"655","Q9R0N3","SYT11","Q9BT88"
"656","Q7TPG8","TAFA1","Q7Z5A9"
"657","Q920N7","SYT12","Q8IV01"
"658","Q7TPG7","TAFA2","Q8N3H0"
"659","Q9EQT6","SYT13","Q7L8C5"
"660","Q7TPG6","TAFA3","Q7Z5A8"
"661","Q7TN84","SYT14","Q8NB59"
"662","Q7TPG5","TAFA4","Q96LR4"
"663","Q8C6N3","SYT15","Q9BQS2"
"664","Q91WE9","TAFA5","Q7Z5A7"
"665","Q7TN83","SYT16","Q17RD7"
"666","Q920M7","SYT17","Q9BSW7"
"667","P46096","SYT1","P21579"
"668","B2RWW0","TAGAP","Q8N103"
"669","P46097","SYT2","Q8N9I0"
"670","O35681","SYT3","Q9BQG1"
"671","P40749","SYT4","Q9H2B2"
"672","Q9R0N5","SYT5","O00445"
"673","Q9R0N8","SYT6","Q5T7P8"
"674","Q91WQ3","YARS1","P54577"
"675","Q9R0N7","SYT7","O43581"
"676","Q9R0N6","SYT8","Q8NBV8"
"677","Q9WVA4","TAGLN2","P37802"
"678","Q8BYL4","YARS2","Q9Y2Z4"
"679","Q9R0N9","SYT9","Q86SS6"
"680","Q9JKT3","TAS2R4","Q9NYW5"
"681","Q8BLY2","TARS3","A2RTX5"
"682","P59530","TAS2R7","Q9NYW3"
"683","Q9D0R2","TARS1","P26639"
"684","P30987","TBXA2R","P21731"
"685","Q99N80","SYTL1","Q8IYJ3"
"686","Q99N50","SYTL2","Q9HCH5"
"687","Q9R0Q1","SYTL4","Q96C24"
"688","Q80T23","SYTL5","Q8TDW5"
"689","Q3UQ84","TARS2","Q9BW92"
"690","Q8BWB1","SYNPO2L","Q9H987"
"691","Q923Y8","TAAR1","Q96RJ0"
"692","Q5QD17","TAAR2","Q9P1P5"
"693","P48776","TDO2","P48775"
"694","Q5QD14","TAAR5","O14804"
"695","Q5QD13","TAAR6","Q96RI8"
"696","Q5QD04","TAAR9","Q96RI9"
"697","Q62277","SYP","P08247"
"698","Q8CF89","TAB1","Q15750"
"699","O09117","SYPL1","Q16563"
"700","O89104","SYPL2","Q5VXT5"
"701","Q8CFI5","PARS2","Q7L3T8"
"702","Q8BHW5","TMEM255A","Q5JRV8"
"703","Q99K90","TAB2","Q9NYJ8"
"704","Q5FW56","TMEM255B","Q8WV15"
"705","Q571K4","TAB3","Q8N5C8"
"706","Q91XT6","TC2N","Q8N9U0"
"707","Q80ZM7","GTF2A2","P52657"
"708","Q8C1E7","TMEM120A","Q9BXJ8"
"709","Q6Y685","TACC1","O75410"
"710","Q6PCP5","MFF","Q9GZY8"
"711","Q8R0Z5","SLC25A28","Q96A46"
"712","Q9DC61","PMPCA","Q10713"
"713","Q61831","MAPK10","P53779"
"714","P97457","MYLPF","Q96A32"
"715","Q9WUI1","MAPK11","Q15759"
"716","Q8JZN7","RHOT2","Q8IXI1"
"717","Q6PZE0","MUC19","Q7Z5P9"
"718","Q91XS1","MTMR4","Q9NYA4"
"719","Q8R4P9","ABCC10","Q5T3U5"
"720","Q9D6V8","PAIP2","Q9BPZ3"
"721","Q8VI47","ABCC2","Q92887"
"722","Q923S6","NEURL1","O76050"
"723","Q9D7Z3","NOL7","Q9UMY1"
"724","A2AMZ4","NDUFAF8","A1L188"
"725","Q99MH6","NKD1","Q969G9"
"726","Q9WTK5","NFKB2","Q00653"
"727","Q9CQS2","NOP10","Q9NPE3"
"728","P42580","NKX1-2","Q9UD57"
"729","O35684","SERPINI1","Q99574"
"730","Q6ZQ12","NINL","Q9Y2I6"
"731","O08750","NFIL3","Q16649"
"732","Q9D136","OGFOD3","Q6PK18"
"733","Q8BHP7","OLFML2A","Q68BL7"
"734","P48076","PLA2G2C","Q5R387"
"735","Q9CWV6","PRKRIP1","Q9H875"
"736","Q91XF0","PNPO","Q9NVS9"
"737","O35074","PTGIS","Q16647"
"738","P21841","SFTPC","P11686"
"739","O09009","RFNG","Q9Y644"
"740","Q8BIF2","RBFOX3","A6NFN3"
"741","Q8CHX7","RFTN2","Q52LD8"
"742","Q8VE91","RETREG1","Q9H6L5"
"743","P48377","RFX1","P22670"
"744","Q9D1H0","RITA1","Q96K30"
"745","P35980","RPL18","Q07020"
"746","Q8R1S9","SLC38A4","Q969I6"
"747","Q8K2P7","SLC38A1","Q9H2H9"
"748","Q8VDX6","RXYLT1","Q9Y2B1"
"749","Q9QZ03","SLC39A1","Q9NY26"
"750","Q9DCP2","SLC38A3","Q99624"
"751","P59808","SASH1","O94885"
"752","E9Q401","RYR2","Q92736"
"753","Q8BRF7","SCFD1","Q8WVM8"
"754","O35114","SCARB2","Q14108"
"755","Q8VCA8","SCRN2","Q96FV2"
"756","Q9CZC8","SCRN1","Q12765"
"757","Q62255","SALL3","Q9BXA9"
"758","P97952","SCN1B","Q07699"
"759","Q67BT3","SLC13A5","Q86YT5"
"760","Q62273","SLC26A2","P50443"
"761","Q8BH47","SEC22A","Q96IW7"
"762","Q8VBW1","SLC6A8","P48029"
"763","Q9CTN5","SIX6OS1","Q8N1H7"
"764","Q3UPL0","SEC31A","O94979"
"765","Q99PN0","SLC5A5","Q92911"
"766","P50247","AHCY","P23526"
"767","P31532","SAA4","P35542"
"768","Q921I1","TF","P02787"
"769","Q3U284","TMEM231","Q9H6L2"
"770","Q6NXM3","TMEM130","Q8N3G9"
"771","Q5K6N0","TMEM232","C9JQI7"
"772","Q8CFD4","SNX8","Q9Y5X2"
"773","Q920F6","SMC1B","Q8NDV3"
"774","P42208","SEPTIN2","Q15019"
"775","Q80U23","SNPH","O15079"
"776","Q62189","SNRPA","P09012"
"777","Q8QZY9","SF3B4","Q15427"
"778","Q8K078","SLCO4A1","Q96BD0"
"779","Q02384","SOS2","Q07890"
"780","Q3TXT3","INIP","Q9NRY2"
"781","Q923D4","SF3B5","Q9BWJ5"
"782","Q9R0R1","MELTF","P08582"
"783","Q8BGX2","TIMM29","Q9BSF4"
"784","Q8BVL3","SNX17","Q15036"
"785","P84102","SERF2","P84101"
"786","Q04891","SOX13","Q9UN79"
"787","Q1W617","SHROOM4","Q9ULL8"
"788","Q9CRB0","SNX24","Q9Y343"
"789","Q5UBV8","TNFSF15","O95150"
"790","Q811W0","SOX21","Q9Y651"
"791","P48432","SOX2","P48431"
"792","Q8CGW4","SOX30","O94993"
"793","Q8CE50","SNX30","Q5VWJ9"
"794","Q04887","SOX9","P48436"
"795","Q8CFT2","SETD1B","Q9UPS6"
"796","Q8C0T5","SIPA1L1","O43166"
"797","Q64511","TOP2B","Q02880"
"798","Q8VIB3","ST3GAL6","Q9Y274"
"799","Q9ERR7","SELENOF","O60613"
"800","Q9WUV2","ST6GALNAC3","Q8NDV1"
"801","Q5XJV7","SETD5","Q9C0A6"
"802","Q9QXK9","SH2D2A","Q9NP31"
"803","A6X942","SH2D4B","Q5SQS7"
"804","Q70E20","SNED1","Q8TER0"
"805","Q9JID9","SH2B2","O14492"
"806","Q8C3S2","TANGO6","Q9C0B7"
"807","O35182","SMAD6","O43541"
"808","Q9D2E9","TMEM190","Q8WZ59"
"809","Q8C013","TPBGL","P0DKB5"
"810","O88632","SEMA3F","Q13275"
"811","Q62421","SH3GL3","Q99963"
"812","Q9ER38","TOR3A","Q9H497"
"813","Q925N1","SFXN4","Q6P4A7"
"814","Q62179","SEMA4B","Q9NPR2"
"815","Q8R3P9","SLF1","Q9BQI6"
"816","O55100","SYNGR1","O43759"
"817","Q62217","SEMA5A","Q13591"
"818","Q9WTM3","SEMA6C","Q9H3T2"
"819","Q9DC77","SMPX","Q9UHP9"
"820","Q8CBA2","SLFN5","Q08AF3"
"821","Q810B7","SLITRK5","O94991"
"822","Q8C110","SLITRK6","Q9H5Y7"
"823","Q5U4C3","SCAF1","Q9H7N4"
"824","B2RXC1","TRAPPC11","Q7Z392"
"825","Q61120","SHC3","Q92529"
"826","Q920D7","SCGB3A1","Q96QR1"
"827","P97299","SFRP2","Q96HF1"
"828","Q8BMC3","SHC2","P98077"
"829","P97401","FRZB","Q92765"
"830","Q8C0E3","TRIM47","Q96LD4"
"831","Q9JJR8","TMEM9B","Q9NQ34"
"832","Q69ZZ6","TMCC1","O94876"
"833","Q922B6","TRAF7","Q6Q0C0"
"834","Q80W04","TMCC2","O75069"
"835","Q8R310","TMCC3","Q9ULS5"
"836","Q810I2","TRIM50","Q86XT4"
"837","Q99JR5","TINAGL1","Q9GZM7"
"838","Q921L3","TMCO1","Q9UM00"
"839","Q8VIG6","TRAIP","Q9BWF2"
"840","Q9ERP3","TRIM54","Q9BYV2"
"841","P0C1V4","TMCO2","Q7Z6W1"
"842","Q9QXG9","TINF2","Q9BSI4"
"843","Q8BH01","TMCO3","Q6UWJ1"
"844","Q91WU4","TMCO4","Q5TGY1"
"845","Q6PD31","TRAK1","Q9UPV9"
"846","Q8BQX5","TMCO6","Q96DC7"
"847","Q80VI1","TRIM56","Q9BRZ2"
"848","Q5NCC9","TRIM58","Q8NG06"
"849","Q3V009","TMED1","Q13445"
"850","Q922Y2","TRIM59","Q8IWR1"
"851","Q91V04","TRAM1","Q15629"
"852","Q08351","MPL","P40238"
"853","P40226","THPO","P40225"
"854","Q924Z5","TRAM2","Q15035"
"855","Q9R0Q3","TMED2","Q15363"
"856","Q78IS1","TMED3","Q9Y3Q3"
"857","Q8R1V4","TMED4","Q7Z7H5"
"858","Q9CQN1","TRAP1","Q12931"
"859","P49813","TMOD1","P28289"
"860","O89023","TPP1","O14773"
"861","Q8VI40","TRIM60","Q495X7"
"862","Q9CXE7","TMED5","Q9Y3A6"
"863","Q9JKK7","TMOD2","Q9NZR1"
"864","Q9CQG0","TMED6","Q8WW62"
"865","Q80V85","TRIM62","Q9BVG3"
"866","Q9JHJ0","TMOD3","Q9NYL9"
"867","Q3UHI4","TMED8","Q6PL24"
"868","Q9JLH8","TMOD4","Q9NZQ9"
"869","Q64514","TPP2","P29144"
"870","Q38HM4","TRIM63","Q969Q1"
"871","Q91W27","PTH2","Q96A98"
"872","Q99KF1","TMED9","Q9BVK6"
"873","Q8BFW4","TRIM65","Q6PJ69"
"874","Q924W6","TRIM66","O15016"
"875","Q505D9","TRIM67","Q6ZTA4"
"876","Q5NCF2","TRAPPC1","Q9Y5R8"
"877","Q3UU67","TRAT1","Q6PIZ9"
"878","Q8K243","TRIM68","Q6AZZ1"
"879","Q9CQP2","TRAPPC2","P0DI81"
"880","Q80X56","TRIM69","Q86WT6"
"881","Q9JIQ8","TMPRSS2","O15393"
"882","O55013","TRAPPC3","O43617"
"883","Q91WA1","TIPIN","Q9BVW5"
"884","Q9D1D4","TMED10","P49755"
"885","Q1XH17","TRIM72","Q6ZMU5"
"886","Q8K1T0","TMPRSS3","P57727"
"887","Q9ES56","TRAPPC4","Q9Y296"
"888","Q9DBI0","TMPRSS6","Q8IU80"
"889","Q9D8Z2","TRIAP1","O43715"
"890","Q9CR23","TMEM9","Q9P0T7"
"891","Q99KW9","ITFG1","Q8TB96"
"892","Q8BIK6","TMPRSS7","Q7RTY8"
"893","B9EKI3","TMF1","P82094"
"894","P69525","TMPRSS9","Q7Z410"
"895","Q8K4K4","TRIB1","Q96RU8"
"896","Q3V0Q7","TMPRSS12","Q86WS5"
"897","Q5U405","TMPRSS13","Q9BYE2"
"898","Q8R182","PRRG2","O14669"
"899","Q8K4K3","TRIB2","Q92519"
"900","Q6PAQ9","PRRG3","Q9BZD7"
"901","Q8BGN6","PRRG4","Q9BZD6"
"902","Q8K467","TMIE","Q8NEW7"
"903","Q8K4K2","TRIB3","Q96RU7"
"904","Q9D7L8","TMIGD1","Q6UXZ0"
"905","G3X8R9","TMIGD3","P0DMS9"
"906","Q9DBY4","TRIL","Q7L0X0"
"907","P52912","TIA1","P31483"
"908","Q99JY1","TIRAP","P58753"
"909","Q3UV71","TMTC1","Q8IUR5"
"910","Q91ZE0","TMLHE","Q9NVH6"
"911","Q9QUS6","MID2","Q9UJV3"
"912","Q60610","TIAM1","Q13009"
"913","Q56A06","TMTC2","Q8N394"
"914","Q6ZPF3","TIAM2","Q8IVF5"
"915","Q8VHN8","NUDT16L1","Q9BRJ7"
"916","Q8BK08","TMEM11","P17152"
"917","P70318","TIAL1","Q01085"
"918","Q9ESN6","TRIM2","Q9C040"
"919","Q8BRH0","TMTC3","Q6ZXV5"
"920","Q8K0U3","TMEM17","Q86X19"
"921","Q8BG19","TMTC4","Q5T4D3"
"922","Q9R1R2","TRIM3","O75382"
"923","Q9JMG3","TMUB1","Q9BVT8"
"924","Q3V209","TMUB2","Q71RG4"
"925","P23950","ZFP36L1","Q07352"
"926","Q62288","SPOCK1","Q08629"
"927","Q9ER58","SPOCK2","Q92563"
"928","B1ATG9","TRABD2B","A6NFA1"
"929","Q8BUY5","TIMMDC1","Q9NPL8"
"930","Q8VCC9","SPON1","Q9HCB6"
"931","Q64127","TRIM24","O15164"
"932","P97350","PKP1","Q13835"
"933","P62192","PSMC1","P62191"
"934","Q91YR7","PRPF6","O94906"
"935","Q66GT5","PTPMT1","Q8WUK0"
"936","A2A935","PRDM16","Q9HAZ2"
"937","Q9JIG8","PRAF2","O60831"
"938","A3KGS3","RALGAPA2","Q2PPJ7"
"939","Q9D7M8","POLR2D","O15514"
"940","Q80XE1","RIC8B","Q9NVN3"
"941","Q8K0Q5","ARHGAP18","Q8N392"
"942","Q922Q2","RIOK1","Q9BRS2"
"943","Q2WG76","RIPPLY2","Q5TAB7"
"944","Q2WG77","RIPPLY1","Q0D2K3"
"945","Q8CD15","RIOX2","Q8IUF8"
"946","Q9Z132","RSPO1","Q2MKA7"
"947","Q8BFU0","RSPO2","Q6UXX9"
"948","Q2TJ95","RSPO3","Q9BXY4"
"949","Q8BJ73","RSPO4","Q2I0M5"
"950","Q8BVR6","RSPRY1","Q96DX4"
"951","Q01730","RSU1","Q15404"
"952","A2RTL5","RSRC2","Q7L4I2"
"953","Q3UC65","RSRP1","Q9BUV0"
"954","Q9DBU6","RSRC1","Q96IZ7"
"955","Q99LF4","RTCB","Q9Y3I0"
"956","P60122","RUVBL1","Q9Y265"
"957","Q5SUV1","RSAD1","Q9HA92"
"958","Q8CBB9","RSAD2","Q8WXG1"
"959","Q80T69","RSBN1","Q5VWQ0"
"960","Q80ZK0","MRPS10","P82664"
"961","Q9WTM5","RUVBL2","Q9Y230"
"962","Q9DCA2","MRPS11","P82912"
"963","O35680","MRPS12","O15235"
"964","Q9CR88","MRPS14","O60783"
"965","Q62241","SNRPC","P09234"
"966","Q9DC71","MRPS15","P82914"
"967","Q924T2","MRPS2","Q9Y399"
"968","Q9ER99","RSC1A1","Q92681"
"969","Q9CPX7","MRPS16","Q9Y3D3"
"970","Q9CQE3","MRPS17","Q9Y2R5"
"971","Q99N87","MRPS5","P82675"
"972","Q99N85","MRPS18A","Q9NVS2"
"973","P57784","SNRPA1","P09661"
"974","Q99N84","MRPS18B","Q9Y676"
"975","P58064","MRPS6","P82932"
"976","Q8R2L5","MRPS18C","Q9Y3D5"
"977","Q9D7N3","MRPS9","P82933"
"978","Q9CQI7","SNRPB2","P08579"
"979","Q80X85","MRPS7","Q9Y2R9"
"980","P58059","MRPS21","P82921"
"981","Q0VGM9","RTEL1","Q9NZ71"
"982","Q9CXW2","MRPS22","P82650"
"983","Q8VE22","MRPS23","Q9Y3D9"
"984","A2AQ19","RTF1","Q92541"
"985","Q80U62","RUBCN","Q92622"
"986","Q99K95","RTF2","Q9BY42"
"987","Q9CQV5","MRPS24","Q96EL2"
"988","Q9D125","MRPS25","P82663"
"989","Q14B46","RTKN2","Q8IZC4"
"990","Q8C6B2","RTKN","Q9BST9"
"991","Q7M732","RTL1","A6NKG5"
"992","Q80ZS3","MRPS26","Q9BYN8"
"993","Q8BIJ7","RUFY1","Q96T51"
"994","Q6P1Y1","RTL3","Q8N8U3"
"995","Q8R4C2","RUFY2","Q8WXA3"
"996","Q8BK72","MRPS27","Q92552"
"997","Q3URY0","RTL4","Q6ZR62"
"998","Q9D394","RUFY3","Q7L099"
"999","Q5DTT4","RTL5","Q5HYW3"
"1000","Q505G4","RTL6","Q6ICC9"
"1001","Q9CY16","MRPS28","Q9Y2Q9"
"1002","Q3TYX8","RUFY4","Q6ZNE9"
"1003","Q32KG4","RTL9","Q8NET4"
"1004","Q9ER88","DAP3","P51398"
"1005","Q9D0G0","MRPS30","Q9NP92"
"1006","Q8K0T0","RTN1","Q16799"
"1007","O08576","RUNDC3A","Q59EK9"
"1008","Q9JIK9","MRPS34","P82930"
"1009","Q9ES97","RTN3","O95197"
"1010","Q61733","MRPS31","Q92665"
"1011","Q6PDC0","RUNDC3B","Q96NL0"
"1012","O70622","RTN2","O75298"
"1013","Q0VDN7","RUNDC1","Q96C34"
"1014","Q9D2R8","MRPS33","Q9Y291"
"1015","Q03347","RUNX1","Q01196"
"1016","Q99PI8","RTN4R","Q9BZR6"
"1017","Q9CQ39","MED21","Q13503"
"1018","P97436","NKX3-1","Q99801"
"1019","P08553","NEFM","P07197"
"1020","Q8R4B8","NLRP3","Q96P20"
"1021","C3VPR6","NLRC5","Q86WI3"
"1022","Q922Q4","PYCR2","Q96C36"
"1023","Q925F3","RNF144A","P50876"
"1024","Q8BUX5","RHBG","Q9H310"
"1025","Q61233","LCP1","P13796"
"1026","Q9Z2M7","PMM2","O15305"
"1027","Q62070","PIM2","Q9P1W9"
"1028","Q8CD54","PIEZO2","Q9H5I5"
"1029","P62196","PSMC5","P62195"
"1030","Q8CEC6","PPWD1","Q96BP3"
"1031","Q9D1T5","PRR15","Q8IV56"
"1032","P33587","PROC","P04070"
"1033","Q8VDG5","PPCS","Q9HAB8"
"1034","Q9CQR2","RPS21","P63220"
"1035","Q8BQB6","SAXO2","Q658L1"
"1036","P97816","S100G","P29377"
"1037","Q6V4S5","SDK2","Q58EX2"
"1038","Q9JHI9","SLC40A1","Q9NP59"
"1039","Q91WD9","SCGN","O76038"
"1040","Q8K0H1","SLC47A1","Q96FL8"
"1041","P07091","S100A4","P26447"
"1042","Q6NZL8","SCUBE1","Q8IWY4"
"1043","Q8BR65","SUDS3","Q9H7L9"
"1044","Q9JHI4","SLC13A1","Q9BZW2"
"1045","Q69Z37","SAMD9L","Q8IVG5"
"1046","Q9CQA3","SDHB","P21912"
"1047","Q9ER74","SALL1","Q9NSC2"
"1048","Q9CZB9","TMEM128","Q5BJH2"
"1049","Q9JMA9","SLC6A14","Q9UN76"
"1050","Q6PGC7","SLC35E3","Q7Z769"
"1051","Q68FL4","AHCYL2","Q96HN2"
"1052","Q9JK48","SH3GLB1","Q9Y371"
"1053","Q62445","SP4","Q02446"
"1054","B2RWJ3","TMEM240","Q5SV17"
"1055","Q9QXN0","SHROOM3","Q8TF72"
"1056","Q3UMB5","SMCR8","Q8TEV9"
"1057","Q7TPQ3","SHPRH","Q149N8"
"1058","P40645","SOX6","P35712"
"1059","Q6P8Y7","SNX31","Q8N9S9"
"1060","E1U8D0","SOGA1","O94964"
"1061","Q9D2C9","SNAPC3","Q92966"
"1062","Q9Z180","SETBP1","Q9Y6X0"
"1063","Q3TYX3","SMYD5","Q6GMV2"
"1064","Q64687","ST8SIA1","Q92185"
"1065","Q9CWZ7","NAPG","Q99747"
"1066","P41155","LTB","Q06643"
"1067","O54988","SLK","Q9H2G2"
"1068","Q99ME3","SNCAIP","Q9Y6H5"
"1069","P97454","SMAD5","Q99717"
"1070","P97440","SLBP","Q14493"
"1071","P97471","SMAD4","Q13485"
"1072","B2RVY9","TMEM182","Q6ZP80"
"1073","Q8JZW5","SH2D5","Q6ZV89"
"1074","E9PXB6","SFTA2","Q6UW10"
"1075","Q91ZM2","SH2B1","Q9NRF2"
"1076","Q3USH5","SFSWAP","Q12872"
"1077","P63300","SELENOW","P63302"
"1078","Q8VD57","SFT2D2","O95562"
"1079","Q99KC7","SMAGP","Q0VAQ4"
"1080","Q80XS6","SAMD4B","Q5PRF9"
"1081","P48787","TNNI3","P19429"
"1082","Q8BKU8","TMEM87B","Q96K49"
"1083","Q62177","SEMA3B","Q13214"
"1084","Q3TYP4","TMEM88B","A6NKF7"
"1085","Q62181","SEMA3C","Q99985"
"1086","V9GXG1","SLFN14","P0C7P3"
"1087","Q8BJL0","SMARCAL1","Q9NZC9"
"1088","Q8K4N2","SPAG11A","Q6PDA7"
"1089","Q4LFA9","SEMA3G","Q9NS98"
"1090","Q62178","SEMA4A","Q9H3S1"
"1091","Q9JJU8","SH3BGRL","O75368"
"1092","Q69ZI1","SH3RF1","Q7Z6J0"
"1093","Q9CZ28","SNF8","Q96H20"
"1094","Q64151","SEMA4C","Q9C0C4"
"1095","Q6P9P0","SLF2","Q8IX21"
"1096","Q9Z1L2","SYNGR4","O95473"
"1097","Q8BZT2","SH3RF2","Q8TEC5"
"1098","O08641","SH3YL1","Q96HL8"
"1099","Q3TLI0","TRAPPC10","P48553"
"1100","Q9QUR8","SEMA7A","O75326"
"1101","Q810B9","SLITRK3","O94933"
"1102","D3YWJ0","NUGGC","Q68CJ6"
"1103","Q8VE18","SMG8","Q8ND04"
"1104","Q6P7W5","TSEN2","Q8NCE0"
"1105","Q8BP27","SFR1","Q86XK3"
"1106","Q3UBX0","TMEM109","Q9BVC6"
"1107","Q9DCC8","TOMM20","Q15388"
"1108","Q9CR67","TMEM33","P57088"
"1109","Q60846","TNFRSF8","P28908"
"1110","Q4FJU9","TMEM40","Q8WWA1"
"1111","Q569Z6","THRAP3","Q9Y2W1"
"1112","P20334","TNFRSF9","Q07011"
"1113","Q99JT6","TLCD1","Q96CP7"
"1114","Q8BGX0","TRIM23","P36406"
"1115","Q8C1Z8","TRMT10A","Q8TBZ6"
"1116","Q9CR22","TMEM42","Q69YG0"
"1117","Q8VC26","TLCD2","A6NGC4"
"1118","Q8CGF5","TLCD4","Q96MV1"
"1119","Q9D075","TRMT10B","Q6PF06"
"1120","Q9CPQ3","TOMM22","Q9NS69"
"1121","Q9DBS1","TMEM43","Q9BTV4"
"1122","Q8BX43","RELT","Q969Z4"
"1123","Q8CGB6","TNS2","Q63HR2"
"1124","Q61510","TRIM25","Q14258"
"1125","Q8QZR0","TRAM1L1","Q8N609"
"1126","Q3TYE7","TLCD5","Q6ZRR5"
"1127","Q99PN3","TRIM26","Q12899"
"1128","Q9CYG7","TOMM34","Q15785"
"1129","Q9JJG6","TMEM47","Q9BQJ4"
"1130","Q9CRB6","TPPP3","Q9BW30"
"1131","Q9QYA2","TOMM40","O96008"
"1132","Q9D702","TMEM52","Q8NDY8"
"1133","Q3UHV4","TRPC5OS","A6NMA1"
"1134","Q8C4U3","SFRP1","Q8N474"
"1135","Q6S5L9","SHC4","Q6S5L8"
"1136","Q920H1","SCGB3A2","Q96PL1"
"1137","Q9Z0Z3","SKP2","Q13309"
"1138","P70196","TRAF6","Q9Y4K3"
"1139","Q8BKV0","SPOCK3","Q9BQ16"
"1140","P84104","SRSF3","P84103"
"1141","Q9CY97","SSU72","Q9NP77"
"1142","Q8BQ33","TICRR","Q7Z2Z1"
"1143","P23949","ZFP36L2","P47974"
"1144","O35326","SRSF5","Q13243"
"1145","B1ASB6","SPOCD1","Q6ZMY3"
"1146","Q9WTP3","SPDEF","O95238"
"1147","Q3TWW8","SRSF6","Q13247"
"1148","Q5IBH7","SPDYA","Q5MJ70"
"1149","P17433","SPI1","P17947"
"1150","Q80YT5","SPATA20","Q8TB22"
"1151","Q9QXV8","SPRY2","O43597"
"1152","Q8BGQ1","VIPAS39","Q9H9C1"
"1153","Q9JJF9","SPPL2A","Q8TCT8"
"1154","A2A6C4","SPPL2C","Q8IUH8"
"1155","Q5SV06","SPATA22","Q8NHS9"
"1156","Q9DA57","SPATA25","Q9BR10"
"1157","O35423","AGXT","P21549"
"1158","Q62267","SPRR1B","P22528"
"1159","Q924S7","SPRED2","Q7Z698"
"1160","Q80VJ2","SRA1","Q9HD15"
"1161","Q9D3E6","STAG1","Q8WVM7"
"1162","Q9R097","SPINT1","O43278"
"1163","Q9ESJ4","NCKIPSD","Q9NZQ3"
"1164","Q3UTJ2","SORBS2","O94875"
"1165","Q3U1N2","SREBF2","Q12772"
"1166","Q8BH69","SEPHS1","P49903"
"1167","Q80W37","SNUPN","O95149"
"1168","Q9D9W0","SPATC1L","Q9H0A9"
"1169","Q9QXE5","PRSS16","Q9NQE7"
"1170","P69744","TRPV5","Q9NQA5"
"1171","Q8VCF5","TSPAN10","Q9H1Z9"
"1172","Q9D1D1","TSPAN11","A1L157"
"1173","O88852","TSPYL1","Q9H0U9"
"1174","Q8BKT6","TSPAN12","O95859"
"1175","Q80YV3","TRRAP","Q9Y4A5"
"1176","F7BWT7","TSPAN15","O95858"
"1177","Q64HY3","SP9","P0CG40"
"1178","Q9WVL2","STAT2","P52630"
"1179","Q8VI67","SP7","Q8TDD2"
"1180","P52633","STAT6","P42226"
"1181","Q9D958","SPCS1","Q9Y6A9"
"1182","Q9D7W4","TSPAN17","Q96FV3"
"1183","Q80ZX8","SPAG1","Q07617"
"1184","Q8C9H6","STRIP2","Q9ULQ0"
"1185","Q7TME2","SPAG5","Q96R06"
"1186","Q91Z69","SRGAP1","Q7Z6B7"
"1187","Q91Z67","SRGAP2","O75044"
"1188","Q62147","SSPN","Q14714"
"1189","Q8VDS8","STX18","Q9P2W9"
"1190","Q64704","STX3","Q13277"
"1191","Q99JB2","STOML2","Q9UJZ1"
"1192","Q8CDJ8","STON1","Q9Y6Q2"
"1193","P55821","STMN2","Q93045"
"1194","Q8C8J0","STPG2","Q8N412"
"1195","P54227","STMN1","P16949"
"1196","Q60864","STIP1","P31948"
"1197","P24369","PPIB","P23284"
"1198","Q9D9A7","PTGES3L","E9PB15"
"1199","D3YUK8","PTTG1IP2","P0DTF9"
"1200","Q9CWJ9","ATIC","P31939"
"1201","P48381","RFX3","P48380"
"1202","Q9CZM2","RPL15","P61313"
"1203","P62751","RPL23A","P62750"
"1204","O09167","RPL21","P46778"
"1205","Q8VDS4","RPRD1A","Q96P16"
"1206","P32958","ROM1","Q03395"
"1207","Q9D5A9","RNASE10","Q5GAN6"
"1208","Q91XF4","RNF167","Q9H6Y7"
"1209","Q8C310","ROBO4","Q8WZ75"
"1210","A2AGL3","RYR3","Q15413"
"1211","Q9D5N8","SATL1","Q86VE3"
"1212","P08207","S100A10","P60903"
"1213","Q3V172","SEL1L2","Q5TEA6"
